lx ly rx ry view frame no. 
312 211 385 211 Looking center 201 
311 210 385 210 Looking center 202 
310 210 388 209 Looking center 203 
310 210 389 207 Looking left 204 
310 209 387 209 Looking left 205 
312 210 388 207 Looking left 206 
311 210 388 208 Looking left 207 
310 210 388 208 Looking center 208 
311 210 388 207 Looking left 210 
310 210 389 207 Looking left 211 
310 210 386 210 Looking center 212 
311 210 386 209 Looking center 213 
310 209 385 207 Looking center 214 
311 210 385 210 Looking center 215 
310 211 385 207 Looking center 216 
311 210 385 207 Looking center 217 
311 210 385 208 Looking center 218 
311 210 386 207 Looking center 219 
311 210 385 208 Looking center 220 
311 210 387 209 Looking center 221 
311 210 387 209 Looking center 222 
310 210 388 208 Looking left 223 
311 210 385 208 Looking center 224 
310 210 386 208 Looking center 225 
311 210 386 207 Looking left 226 
311 210 388 207 Looking left 227 
311 210 385 207 Looking center 228 
310 210 384 208 Looking center 229 
311 210 388 207 Looking left 230 
311 210 386 207 Looking center 231 
311 210 387 207 Looking center 232 
310 210 385 210 Looking center 233 
311 210 387 210 Looking center 234 
310 211 387 208 Looking center 235 
310 211 387 209 Looking center 237 
310 211 387 209 Looking center 238 
311 211 388 208 Looking left 239 
309 212 387 209 Looking center 240 
311 212 389 209 Looking left 241 
310 213 388 210 Looking left 242 
309 215 386 209 Looking center 243 
310 213 387 209 Looking left 244 
310 213 386 209 Looking center 245 
310 214 385 209 Looking center 246 
310 213 387 210 Looking left 247 
309 214 387 208 Looking center 248 
310 213 387 209 Looking center 249 
310 213 387 210 Looking left 250 
310 212 386 208 Looking center 251 
310 213 389 209 Looking left 252 
310 212 386 208 Looking center 253 
309 215 385 210 Looking center 254 
309 214 388 207 Looking left 255 
307 213 388 208 Looking center 256 
310 213 386 206 Looking center 257 
310 211 385 210 Looking center 258 
310 212 385 211 Looking center 259 
310 211 387 211 Looking center 260 
310 211 387 211 Looking left 261 
310 211 386 210 Looking center 262 
310 212 385 210 Looking center 263 
310 211 385 211 Looking center 265 
310 211 386 209 Looking center 266 
310 210 383 208 Looking center 267 
310 210 383 210 Looking center 268 
309 210 384 209 Looking center 269 
310 210 384 208 Looking center 270 
309 210 387 208 Looking left 271 
309 210 386 207 Looking left 272 
309 210 383 208 Looking center 273 
308 210 385 209 Looking center 274 
308 211 379 213 Looking center 276 
307 212 390 207 Looking left 278 
307 211 386 206 Looking left 279 
306 212 386 207 Looking center 281 
306 213 384 209 Looking center 284 
305 213 385 209 Looking center 285 
305 213 380 211 Looking center 286 
305 213 379 211 Looking center 287 
305 214 378 211 Looking center 288 
305 214 380 212 Looking center 289 
305 214 379 211 Looking center 290 
304 215 378 211 Looking center 291 
304 214 377 212 Looking center 292 
303 216 378 211 Looking center 293 
303 217 377 212 Looking center 294 
303 215 378 213 Looking center 295 
303 219 378 213 Looking center 296 
303 218 378 214 Looking center 297 
304 218 377 212 Looking center 298 
304 219 375 214 Looking center 299 
303 218 377 212 Looking center 300 
303 217 378 212 Looking center 301 
303 217 378 213 Looking center 302 
304 218 376 213 Looking center 303 
304 216 378 213 Looking center 304 
303 216 379 212 Looking center 305 
304 215 379 212 Looking center 306 
304 214 377 211 Looking center 307 
305 215 379 210 Looking center 308 
304 214 378 208 Looking center 309 
304 215 379 210 Looking center 310 
303 215 378 211 Looking center 311 
303 213 381 209 Looking center 312 
303 214 380 211 Looking center 313 
304 215 377 210 Looking center 314 
305 214 379 209 Looking center 315 
303 213 379 211 Looking center 316 
305 214 379 210 Looking center 317 
305 213 380 210 Looking center 318 
304 214 378 209 Looking center 319 
306 215 381 210 Looking center 320 
306 215 385 209 Looking left 321 
306 215 384 210 Looking left 322 
306 215 384 209 Looking left 323 
306 213 384 210 Looking center 324 
306 213 384 211 Looking center 325 
306 214 384 210 Looking left 326 
306 215 379 212 Looking center 327 
305 215 379 210 Looking center 328 
306 216 380 211 Looking center 329 
304 216 378 211 Looking center 330 
303 214 380 212 Looking center 331 
305 214 383 210 Looking center 332 
304 216 382 211 Looking center 333 
304 216 379 215 Looking center 334 
304 216 376 214 Looking center 335 
303 217 374 215 Looking center 336 
303 217 377 214 Looking center 337 
303 217 378 212 Looking center 338 
302 218 373 215 Looking center 340 
299 221 370 216 Looking center 348 
300 220 379 215 Looking center 350 
300 219 378 214 Looking center 351 
301 221 376 218 Looking center 352 
301 221 375 215 Looking center 353 
305 217 381 218 Looking center 355 
308 217 382 213 Looking center 356 
308 215 397 213 Looking left 357 
311 213 384 213 Looking center 359 
311 213 391 214 Looking left 360 
311 213 387 217 Looking center 361 
310 215 401 217 Looking left 362 
310 216 390 211 Looking left 363 
308 216 382 214 Looking center 364 
307 217 379 217 Looking center 365 
307 217 381 217 Looking center 366 
307 214 380 217 Looking center 367 
307 214 377 215 Looking center 368 
306 216 381 214 Looking center 370 
307 216 381 213 Looking center 371 
306 214 380 212 Looking center 372 
306 215 379 211 Looking center 373 
305 214 380 214 Looking center 374 
305 216 379 213 Looking center 375 
305 215 375 213 Looking center 376 
304 216 380 212 Looking center 377 
305 216 382 210 Looking center 379 
304 217 387 210 Looking left 380 
304 217 375 211 Looking center 382 
302 218 382 212 Looking center 389 
302 218 378 211 Looking center 391 
302 218 381 212 Looking center 392 
300 218 380 215 Looking center 395 
302 218 380 212 Looking center 396 
302 220 380 214 Looking center 397 
301 219 380 213 Looking center 398 
301 220 379 214 Looking center 400 
301 220 385 212 Looking left 401 
302 219 382 215 Looking left 404 
303 218 381 213 Looking center 406 
303 215 380 210 Looking center 407 
303 216 377 216 Looking center 408 
303 216 377 214 Looking center 409 
302 215 381 213 Looking center 410 
303 215 378 214 Looking center 411 
302 215 382 210 Looking center 412 
302 214 374 216 Looking center 414 
301 212 373 210 Looking center 416 
301 214 373 212 Looking center 417 
309 212 400 217 Looking left 431 
285 215 357 210 Looking center 436 
280 225 351 212 Looking center 438 
275 222 349 211 Looking center 441 
277 225 349 211 Looking center 442 
279 224 348 211 Looking center 444 
280 219 351 207 Looking center 457 
281 220 353 209 Looking center 463 
285 217 356 212 Looking center 465 
286 218 361 209 Looking center 466 
289 216 362 209 Looking center 467 
297 214 382 205 Looking left 472 
301 214 379 208 Looking center 473 
302 213 382 212 Looking left 474 
304 213 379 206 Looking center 475 
301 213 383 208 Looking center 476 
305 212 379 206 Looking center 478 
303 214 381 207 Looking center 479 
302 213 382 212 Looking center 480 
303 211 380 209 Looking center 481 
303 213 381 210 Looking center 482 
302 215 378 208 Looking center 483 
302 215 376 210 Looking center 484 
302 213 381 212 Looking center 485 
302 214 380 210 Looking center 486 
303 215 380 209 Looking center 487 
303 212 379 211 Looking center 488 
301 214 377 209 Looking center 489 
302 214 382 213 Looking left 490 
302 213 374 211 Looking center 491 
301 216 376 210 Looking center 492 
302 216 379 211 Looking center 493 
301 217 379 210 Looking center 494 
302 216 381 210 Looking center 495 
302 214 381 210 Looking center 496 
304 215 381 209 Looking left 498 
302 215 381 211 Looking left 499 
304 214 381 214 Looking left 500 
305 216 384 217 Blinking 501 
307 216 385 217 Blinking 502 
308 215 381 216 Blinking 503 
308 214 383 215 Looking center 504 
309 213 384 215 Looking center 505 
311 213 385 216 Looking center 506 
312 213 390 217 Looking left 507 
313 213 389 217 Looking center 508 
314 213 391 216 Looking left 509 
315 213 393 216 Looking left 510 
315 213 391 216 Looking center 511 
315 213 392 217 Looking left 512 
315 213 391 217 Looking center 513 
315 214 392 218 Looking left 514 
316 213 393 216 Looking left 515 
316 213 394 215 Looking left 516 
316 213 392 219 Looking center 517 
316 214 394 217 Looking left 518 
316 214 394 217 Looking left 519 
316 214 394 218 Looking left 520 
316 214 397 218 Looking left 521 
316 214 397 218 Looking left 522 
316 214 392 218 Looking center 523 
315 214 394 217 Looking left 524 
314 214 393 217 Looking left 525 
313 216 390 215 Looking left 526 
308 217 384 216 Looking center 527 
291 222 368 211 Looking left 531 
289 221 366 213 Looking left 532 
287 220 360 215 Looking center 533 
287 222 364 215 Looking left 534 
289 221 362 215 Looking left 535 
287 223 363 216 Looking left 536 
287 224 363 213 Looking left 537 
288 222 364 212 Looking left 539 
289 221 364 214 Looking left 540 
288 222 364 213 Looking left 541 
288 221 368 216 Looking left 542 
289 221 365 214 Looking left 543 
288 222 365 214 Looking left 544 
289 223 366 216 Looking left 545 
289 223 368 215 Looking left 546 
290 221 367 214 Looking left 547 
290 221 364 213 Looking center 549 
290 220 367 213 Looking left 550 
291 220 368 210 Looking left 551 
294 220 369 209 Looking left 552 
296 215 374 208 Looking left 555 
298 214 372 212 Looking left 556 
298 214 373 207 Looking center 558 
297 214 377 211 Looking left 559 
298 214 376 205 Looking left 560 
298 215 374 210 Looking center 561 
300 213 373 209 Looking center 562 
300 213 374 209 Looking center 563 
300 214 374 209 Looking center 564 
300 213 375 210 Looking center 565 
300 214 378 209 Looking left 566 
300 213 375 213 Looking center 567 
301 213 378 208 Looking left 568 
302 213 378 212 Looking center 570 
303 212 380 208 Looking left 571 
306 211 381 209 Looking left 572 
307 211 384 210 Looking left 573 
306 211 382 210 Looking left 574 
307 211 381 210 Looking left 575 
307 211 382 210 Looking left 576 
306 212 381 210 Looking left 577 
307 212 381 211 Looking left 578 
306 212 379 213 Looking left 579 
310 216 390 220 Blinking 580 
297 219 385 219 Blinking 581 
301 216 383 217 Blinking 582 
305 214 382 214 Blinking 583 
305 215 382 215 Blinking 584 
306 216 380 216 Looking center 585 
307 215 381 216 Looking left 586 
307 215 384 216 Looking left 587 
307 216 382 217 Looking left 588 
308 217 385 218 Looking left 589 
309 216 383 217 Looking left 590 
309 216 386 217 Looking left 591 
310 215 386 216 Looking left 592 
310 215 386 216 Looking left 593 
310 216 384 217 Looking center 594 
310 217 384 218 Looking center 595 
310 216 385 217 Looking center 596 
312 214 385 215 Looking center 597 
312 215 387 216 Looking left 598 
312 216 386 217 Looking center 599 
313 215 387 217 Looking center 600 
314 213 388 214 Looking center 601 
316 214 391 216 Looking left 602 
317 216 393 219 Looking left 603 
318 216 396 216 Looking left 604 
320 213 398 215 Looking left 605 
324 216 404 214 Looking left 607 
328 206 406 208 Looking left 609 
328 207 407 210 Looking left 610 
329 212 405 213 Looking center 611 
330 211 409 214 Looking left 612 
335 210 410 216 Blinking 613 
335 211 411 218 Blinking 614 
331 212 409 218 Blinking 615 
331 212 406 217 Looking left 616 
331 213 408 217 Looking left 617 
328 213 405 217 Looking left 618 
325 216 404 220 Looking left 619 
324 219 399 222 Looking left 620 
323 222 396 225 Looking left 621 
323 223 399 225 Looking left 622 
323 220 400 224 Looking left 623 
324 219 397 222 Looking left 624 
324 221 398 224 Looking left 625 
323 223 400 227 Looking left 626 
322 221 399 224 Looking left 627 
323 222 395 225 Looking left 628 
322 225 397 227 Looking left 629 
324 224 396 227 Looking left 630 
323 223 397 227 Looking left 631 
323 225 397 228 Looking left 632 
323 227 399 230 Looking left 633 
323 227 399 230 Looking left 634 
323 227 398 230 Looking left 635 
323 227 399 230 Looking left 636 
323 227 399 230 Looking left 637 
323 226 399 229 Looking left 638 
323 227 398 230 Looking left 639 
324 229 398 233 Looking left 640 
324 229 398 232 Blinking 641 
324 228 399 232 Looking left 642 
324 228 399 232 Blinking 643 
324 228 398 231 Blinking 644 
325 228 398 232 Blinking 645 
324 228 399 231 Looking left 646 
324 226 399 230 Looking left 647 
325 225 399 228 Looking left 648 
